Cf Error Code,Pg Error Code,Reason,Cf Error Description
GATEWAY_ERROR,U07,invalid_format,gateway infrastructure error detected
GATEWAY_ERROR,U10,invalid_format,gateway infrastructure error detected
GATEWAY_ERROR,U12,currency_mismatch,gateway infrastructure error detected
GATEWAY_ERROR,U15,encryption_error,gateway infrastructure error detected
TRANSACTION_DECLINED,U18,auth_failure,Customer could not be authenticated for the transaction
GATEWAY_ERROR,U36,response_error,gateway infrastructure error detected
TRANSACTION_DECLINED,SP,invalid_atmpin,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,U02,transaction_amount_limit,customer has exceeded the withdrawal amount limit
GATEWAY_ERROR,U04,invalid_transaction,Transaction was invalid
GATEWAY_ERROR,U06,invalid_transaction,Transaction was invalid
NETWORK_ERROR,U08,bank_offline,request session is timed out. Kindly retry after sometime.
TRANSACTION_DECLINED,U24,auth_timeout,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,OC,credit_failed,issuer bank or payment service provider declined the transaction
NETWORK_ERROR,RB,credit_reversal_timeout,a network infrastructure error was detected
PAYMENT_INSTRUMENT_BLOCKED,RN,attempts_exceeded,customer's payment instrument was blocked by the network
NETWORK_ERROR,RR,debit_reversal_timeout,a network infrastructure error was detected
GATEWAY_ERROR,U01,duplicate_transaction,gateway infrastructure error detected
TRANSACTION_DECLINED,U20,auth_timeout,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,NC,credit_failed,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,U29,debit_failed,Issuer bank or payment service provider declined the transaction.
TRANSACTION_DECLINED,AJ,inactive_card,issuer bank or payment service provider declined the transaction
NETWORK_ERROR,BT,acquirer_bank_offline,a network infrastructure error was detected
GATEWAY_ERROR,U05,invalid_format,gateway infrastructure error detected
TRANSACTION_DECLINED,U32,credit_failed,issuer bank or payment service provider declined the transaction
TRANSACTION_DECLINED,U34,transaction_reverted,issuer bank or payment service provider declined the transaction
GATEWAY_ERROR,U38,response_error,gateway infrastructure error detected
TRANSACTION_DECLINED,LD,debit_failed,issuer bank or payment service provider declined the transaction
